Unemployment_Rate : Total
Region, Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
Andhra Pradesh, 30-04-2018, M, 3.65, 17084469.00, 42.58
Andhra Pradesh, 31-05-2018, M, 4.01, 17078661.00, 42.66
Andhra Pradesh, 30-06-2018, M, 4.51, 16524370.00, 41.44
Andhra Pradesh, 31-07-2018, M, 5.25, 17438268.00, 44.01
Andhra Pradesh, 31-08-2018, M, 4.33, 17247277.00, 43.05
Andhra Pradesh, 30-09-2018, M, 4.88, 17200185.00, 43.11
Andhra Pradesh, 31-10-2018, M, 5.56, 15617337.00, 39.37
Andhra Pradesh, 30-11-2018, M, 5.24, 16856909.00, 42.29
Andhra Pradesh, 31-12-2018, M, 4.20, 17094902.00, 42.37
Andhra Pradesh, 31-01-2019, M, 5.21, 17525876.00, 43.83
Andhra Pradesh, 28-02-2019, M, 5.76, 15705618.00, 39.46
Andhra Pradesh, 31-03-2019, M, 5.17, 16300531.00, 40.64
Andhra Pradesh, 30-04-2019, M, 4.02, 17501776.00, 43.05
Andhra Pradesh, 31-05-2019, M, 4.36, 16787801.00, 41.38
Andhra Pradesh, 30-06-2019, M, 3.27, 16580510.00, 40.35
Andhra Pradesh, 31-07-2019, M, 4.29, 16744148.00, 41.12
Andhra Pradesh, 31-08-2019, M, 3.68, 17028869.00, 41.50
Andhra Pradesh, 30-09-2019, M, 5.41, 16990761.00, 42.11
Andhra Pradesh, 31-10-2019, M, 3.86, 16791781.00, 40.88
Andhra Pradesh, 30-11-2019, M, 5.14, 16066455.00, 39.59
Andhra Pradesh, 31-12-2019, M, 5.39, 17442360.00, 43.03
Andhra Pradesh, 31-01-2020, M, 5.48, 16635535.00, 41.02
Andhra Pradesh, 29-02-2020, M, 5.83, 16545652.00, 40.90
Andhra Pradesh, 31-03-2020, M, 5.79, 15881197.00, 39.18
Andhra Pradesh, 30-04-2020, M, 20.51, 11336911.00, 33.10
Andhra Pradesh, 31-05-2020, M, 17.43, 12988845.00, 36.46
Andhra Pradesh, 30-06-2020, M, 3.31, 19805400.00, 47.41
Andhra Pradesh, 31-07-2020, M, 8.34, 15431615.00, 38.91
Andhra Pradesh, 31-08-2020, M, 6.96, 15251776.00, 37.83
Andhra Pradesh, 30-09-2020, M, 6.40, 15220312.00, 37.47
Andhra Pradesh, 31-10-2020, M, 6.64, 15140379.00, 37.32
Andhra Pradesh, 30-11-2020, M, 6.02, 15478231.00, 37.84
Andhra Pradesh, 31-12-2020, M, 6.71, 15854431.00, 39.00
Andhra Pradesh, 31-01-2021, M, 4.48, 16516412.00, 39.62
Andhra Pradesh, 28-02-2021, M, 3.74, 16736552.00, 39.78
Andhra Pradesh, 31-03-2021, M, 5.88, 15752408.00, 38.24
Assam, 30-04-2018, M, 3.58, 11071967.00, 46.34
Assam, 31-05-2018, M, 6.29, 12034894.00, 51.72
Assam, 30-06-2018, M, 8.57, 10215989.00, 44.91
Assam, 31-07-2018, M, 7.85, 10502434.00, 45.72
Assam, 31-08-2018, M, 3.90, 11098521.00, 46.23
Assam, 30-09-2018, M, 11.19, 11507942.00, 51.77
Assam, 31-10-2018, M, 5.33, 10063961.00, 42.39
Assam, 30-11-2018, M, 8.18, 10898176.00, 47.23
Assam, 31-12-2018, M, 6.11, 11162155.00, 47.22
Assam, 31-01-2019, M, 5.11, 12518130.00, 52.28
Assam, 28-02-2019, M, 5.36, 10314086.00, 43.12
Assam, 31-03-2019, M, 6.78, 11068934.00, 46.88
Assam, 30-04-2019, M, 5.00, 11349197.00, 47.07
Assam, 31-05-2019, M, 4.75, 13421041.00, 55.41
Assam, 30-06-2019, M, 5.87, 10570564.00, 44.07
Assam, 31-07-2019, M, 4.10, 11651371.00, 47.59
Assam, 31-08-2019, M, 6.49, 10887620.00, 45.51
Assam, 30-09-2019, M, 5.07, 13044829.00, 53.61
Assam, 31-10-2019, M, 5.76, 9991084.00, 41.27
Assam, 30-11-2019, M, 4.91, 11333409.00, 46.31
Assam, 31-12-2019, M, 0.88, 10209749.00, 39.95
Assam, 31-01-2020, M, 4.66, 13051904.00, 52.98
Assam, 29-02-2020, M, 4.41, 10088268.00, 40.77
Assam, 31-03-2020, M, 4.77, 11542888.00, 46.73
Assam, 30-04-2020, M, 11.06, 6830817.00, 29.55
Assam, 31-05-2020, M, 9.55, 11367897.00, 48.26
Assam, 30-06-2020, M, 0.60, 9095944.00, 35.07
Assam, 31-07-2020, M, 3.77, 10286757.00, 40.88
Assam, 31-08-2020, M, 5.53, 9781310.00, 39.52
Assam, 30-09-2020, M, 1.19, 14107641.00, 54.38
Assam, 31-10-2020, M, 3.02, 11949329.00, 46.84
Assam, 30-11-2020, M, 3.98, 10901371.00, 43.07
Assam, 31-12-2020, M, 7.64, 10482404.00, 42.97
Assam, 31-01-2021, M, 1.53, 13177962.00, 50.57
Assam, 28-02-2021, M, 1.65, 11283161.00, 43.27
Assam, 31-03-2021, M, 1.06, 11122329.00, 42.31
Bihar, 30-04-2018, M, 7.97, 27392078.00, 39.78
Bihar, 31-05-2018, M, 5.07, 28900697.00, 40.60
Bihar, 30-06-2018, M, 7.60, 28041995.00, 40.39
Bihar, 31-07-2018, M, 9.26, 26680623.00, 39.04
Bihar, 31-08-2018, M, 9.27, 26215273.00, 38.28
Bihar, 30-09-2018, M, 5.41, 28043216.00, 39.20
Bihar, 31-10-2018, M, 9.56, 26666955.00, 38.90
Bihar, 30-11-2018, M, 11.23, 25928392.00, 38.45
Bihar, 31-12-2018, M, 8.14, 25722354.00, 36.78
Bihar, 31-01-2019, M, 8.69, 27289779.00, 39.17
Bihar, 28-02-2019, M, 11.47, 26749981.00, 39.53
Bihar, 31-03-2019, M, 11.29, 26382051.00, 38.82
Bihar, 30-04-2019, M, 12.19, 25018247.00, 37.11
Bihar, 31-05-2019, M, 10.58, 27351666.00, 39.76
Bihar, 30-06-2019, M, 10.58, 27346572.00, 39.66
Bihar, 31-07-2019, M, 13.80, 26308621.00, 39.50
Bihar, 31-08-2019, M, 11.84, 25254973.00, 36.99
Bihar, 30-09-2019, M, 10.10, 26983170.00, 38.68
Bihar, 31-10-2019, M, 12.66, 27226568.00, 40.08
Bihar, 30-11-2019, M, 13.07, 25527075.00, 37.68
Bihar, 31-12-2019, M, 10.73, 25892391.00, 37.13
Bihar, 31-01-2020, M, 10.61, 26397671.00, 37.72
Bihar, 29-02-2020, M, 10.29, 26281655.00, 37.35
Bihar, 31-03-2020, M, 15.43, 25717519.00, 38.69
Bihar, 30-04-2020, M, 46.64, 16046236.00, 38.17
Bihar, 31-05-2020, M, 45.96, 16280203.00, 38.16
Bihar, 30-06-2020, M, 17.82, 23963933.00, 36.86
Bihar, 31-07-2020, M, 12.79, 24989370.00, 36.14
Bihar, 31-08-2020, M, 13.44, 23795534.00, 34.59
Bihar, 30-09-2020, M, 11.91, 26902907.00, 38.35
Bihar, 31-10-2020, M, 9.82, 25693252.00, 35.70
Bihar, 30-11-2020, M, 9.98, 26021204.00, 36.14
Bihar, 31-12-2020, M, 12.65, 24393328.00, 34.84
Bihar, 31-01-2021, M, 10.50, 28016910.00, 38.97
Bihar, 28-02-2021, M, 11.47, 25685968.00, 36.05
Bihar, 31-03-2021, M, 14.60, 25734604.00, 37.36
Chhattisgarh, 30-04-2018, M, 2.06, 8529349.00, 41.54
Chhattisgarh, 31-05-2018, M, 4.34, 8029058.00, 39.95
Chhattisgarh, 30-06-2018, M, 2.44, 8107650.00, 39.46
Chhattisgarh, 31-07-2018, M, 3.38, 8543548.00, 41.89
Chhattisgarh, 31-08-2018, M, 2.59, 8405219.00, 40.79
Chhattisgarh, 30-09-2018, M, 22.24, 8264838.00, 50.13
Chhattisgarh, 31-10-2018, M, 12.68, 8502477.00, 45.82
Chhattisgarh, 30-11-2018, M, 5.51, 8538469.00, 42.43
Chhattisgarh, 31-12-2018, M, 4.73, 8258913.00, 40.61
Chhattisgarh, 31-01-2019, M, 7.87, 8346885.00, 42.35
Chhattisgarh, 28-02-2019, M, 7.29, 8719835.00, 43.88
Chhattisgarh, 31-03-2019, M, 3.71, 9034510.00, 43.67
Chhattisgarh, 30-04-2019, M, 3.44, 8596924.00, 41.35
Chhattisgarh, 31-05-2019, M, 9.80, 8482147.00, 43.57
Chhattisgarh, 30-06-2019, M, 8.06, 8800644.00, 44.26
Chhattisgarh, 31-07-2019, M, 5.48, 9039059.00, 44.11
Chhattisgarh, 31-08-2019, M, 5.08, 9000093.00, 43.64
Chhattisgarh, 30-09-2019, M, 8.63, 8800594.00, 44.23
Chhattisgarh, 31-10-2019, M, 7.80, 9340935.00, 46.42
Chhattisgarh, 30-11-2019, M, 4.23, 9284214.00, 44.32
Chhattisgarh, 31-12-2019, M, 5.44, 8984824.00, 43.34
Chhattisgarh, 31-01-2020, M, 9.65, 8552172.00, 43.08
Chhattisgarh, 29-02-2020, M, 8.38, 9195114.00, 45.58
Chhattisgarh, 31-03-2020, M, 7.54, 9302317.00, 45.59
Chhattisgarh, 30-04-2020, M, 3.41, 7600448.00, 35.58
Chhattisgarh, 31-05-2020, M, 10.50, 6991217.00, 35.23
Chhattisgarh, 30-06-2020, M, 14.23, 7332807.00, 38.48
Chhattisgarh, 31-07-2020, M, 10.27, 8620294.00, 43.14
Chhattisgarh, 31-08-2020, M, 5.63, 9050422.00, 42.97
Chhattisgarh, 30-09-2020, M, 1.99, 9158315.00, 41.77
Chhattisgarh, 31-10-2020, M, 6.66, 8589223.00, 41.05
Chhattisgarh, 30-11-2020, M, 3.38, 8705350.00, 40.10
Chhattisgarh, 31-12-2020, M, 7.20, 8391157.00, 40.15
Chhattisgarh, 31-01-2021, M, 6.38, 8828785.00, 41.78
Chhattisgarh, 28-02-2021, M, 5.99, 8882237.00, 41.77
Chhattisgarh, 31-03-2021, M, 2.69, 8580167.00, 38.89
Delhi, 30-04-2018, M, 3.60, 5401058.00, 37.73
Delhi, 31-05-2018, M, 8.75, 5349651.00, 39.38
Delhi, 30-06-2018, M, 8.99, 5380924.00, 39.62
Delhi, 31-07-2018, M, 7.51, 5297063.00, 38.29
Delhi, 31-08-2018, M, 12.32, 5481518.00, 41.70
Delhi, 30-09-2018, M, 12.49, 5709710.00, 43.41
Delhi, 31-10-2018, M, 10.00, 5348642.00, 39.45
Delhi, 30-11-2018, M, 12.04, 5551045.00, 41.79
Delhi, 31-12-2018, M, 9.59, 5900135.00, 43.11
Delhi, 31-01-2019, M, 12.18, 6006259.00, 45.07
Delhi, 28-02-2019, M, 11.56, 5456349.00, 40.57
Delhi, 31-03-2019, M, 13.05, 5471499.00, 41.28
Delhi, 30-04-2019, M, 8.37, 5615928.00, 40.11
Delhi, 31-05-2019, M, 12.32, 5925960.00, 44.12
Delhi, 30-06-2019, M, 12.67, 5699248.00, 42.50
Delhi, 31-07-2019, M, 14.58, 5559698.00, 42.28
Delhi, 31-08-2019, M, 13.61, 5687918.00, 42.67
Delhi, 30-09-2019, M, 20.38, 5808310.00, 47.16
Delhi, 31-10-2019, M, 12.49, 6179875.00, 45.54
Delhi, 30-11-2019, M, 15.96, 5618368.00, 43.01
Delhi, 31-12-2019, M, 11.23, 5864011.00, 42.40
Delhi, 31-01-2020, M, 22.23, 5805284.00, 47.79
Delhi, 29-02-2020, M, 14.84, 5856307.00, 43.92
Delhi, 31-03-2020, M, 17.04, 5553805.00, 42.65
Delhi, 30-04-2020, M, 16.68, 3119274.00, 23.80
Delhi, 31-05-2020, M, 42.27, 2632404.00, 28.91
Delhi, 30-06-2020, M, 18.19, 4418914.00, 34.17
Delhi, 31-07-2020, M, 20.30, 4291053.00, 33.97
Delhi, 31-08-2020, M, 13.79, 4850107.00, 35.41
Delhi, 30-09-2020, M, 12.53, 4958373.00, 35.59
Delhi, 31-10-2020, M, 6.27, 4842698.00, 32.36
Delhi, 30-11-2020, M, 6.57, 5058039.00, 33.83
Delhi, 31-12-2020, M, 7.56, 5341068.00, 36.01
Delhi, 31-01-2021, M, 12.51, 5157974.00, 36.65
Delhi, 28-02-2021, M, 7.99, 5176344.00, 34.90
Delhi, 31-03-2021, M, 9.41, 5123006.00, 35.00
Goa, 30-04-2018, M, 6.00, 597612.00, 50.83
Goa, 31-05-2018, M, 3.25, 583684.00, 48.18
Goa, 30-06-2018, M, 4.84, 544876.00, 45.68
Goa, 31-07-2018, M, 3.80, 579230.00, 47.99
Goa, 31-08-2018, M, 6.82, 578404.00, 49.41
Goa, 30-09-2018, M, 4.11, 563538.00, 46.73
Goa, 31-10-2018, M, 5.07, 540168.00, 45.19
Goa, 30-11-2018, M, 2.14, 552106.00, 44.76
Goa, 31-12-2018, M, 7.17, 574795.00, 49.07
Goa, 31-01-2019, M, 7.45, 481283.00, 41.17
Goa, 28-02-2019, M, 7.08, 475535.00, 40.47
Goa, 31-03-2019, M, 8.87, 463645.00, 40.19
Goa, 30-04-2019, M, 9.30, 509668.00, 44.34
Goa, 31-05-2019, M, 2.82, 444196.00, 36.03
Goa, 30-06-2019, M, 10.66, 474485.00, 41.81
Goa, 31-07-2019, M, 11.80, 447804.00, 39.93
Goa, 31-08-2019, M, 3.67, 426879.00, 34.81
Goa, 30-09-2019, M, 3.53, 458583.00, 37.30
Goa, 31-10-2019, M, 10.44, 467704.00, 40.93
Goa, 30-11-2019, M, 24.66, 431101.00, 44.80
Goa, 31-12-2019, M, 11.80, 465309.00, 41.26
Goa, 31-01-2020, M, 8.89, 416750.00, 35.73
Goa, 29-02-2020, M, 2.81, 478068.00, 38.38
Goa, 31-03-2020, M, 5.25, 411761.00, 33.88
Goa, 30-04-2020, M, 13.31, 500614.00, 44.97
Goa, 31-05-2020, M, 21.25, 378244.00, 37.36
Goa, 30-06-2020, M, 9.96, 489111.00, 42.21
Goa, 31-07-2020, M, 17.07, 458876.00, 42.94
Goa, 31-08-2020, M, 16.21, 473016.00, 43.76
Goa, 30-09-2020, M, 15.38, 425004.00, 38.89
Goa, 31-10-2020, M, 10.95, 388583.00, 33.75
Goa, 30-11-2020, M, 15.88, 376472.00, 34.58
